CAMPAIGN,NAME,DATE,DESCRIPTION,VOD,CLIPS,AUTHOR,NOTES
Fire and Fury,Flashback,6-Aug,Players deploy into Vietnam and hunt down intel that reveals a plot to start WW3,https://www.youtube.com/watch?v=FlVYtVrYANM,,Travis,Liam and Jakes first op played
Fire and Fury,Deceit,13-Aug,20 years later the players pick up the trail of the spectre forces in Chernobyl,https://www.youtube.com/watch?v=kxba9kmNnpc,,Travis,
Fire and Fury,Countdown,20-Aug,Players race to Stratis to stop Spectre forces from starting WW3,https://www.youtube.com/watch?v=g90ojraTxmM,,Travis,
SCP: Eternity,Part 1,12-Sep,Players venture into unknown territory to investigate anomalies for the Foundation,https://www.youtube.com/watch?v=QeheCScpMqw,https://youtu.be/hAsAZMfFqPk,Travis,
SCP: Eternity,Part 2,19-Sep,SCP squad encounter Nazis and the Roman Empire in their search for SCP 6052,https://www.youtube.com/watch?v=nwmy0rSU8A0,,Travis,
SCP: Eternity,Side Missions,26-Sep,SCP squad gather resources in preparation for their final assault on SCP 6052,,,Travis,
SCP: Eternity,Finale,3-Oct,SCP squad join up with the Romans to eliminate the Nazis USSR and 6052 in one sweep,https://youtu.be/8dko3Zki3KU,,Travis,
SCP: Eternity,Railroad,10-Oct,Players attempt to stop a train dealing weapons,,,Travis,
SCP: Eternity,Funky Town,24-Oct,We destroy some shit in Anizay? idk why ask 6052,,https://youtu.be/ma0V2CUBeKM,Travis,
SCP: Eternity,ě̴͛n̴̦͂c̸̛̒ö̸́́d̷̏̉i̸̞͆n̴̬̽g̵̦͗ ̶̓͋ë̷́̓r̵͘͠r̷͛͂o̶͛̐r,7-Nov,SCP squad investigate multiple ships sticking out of a village in Esseker,https://youtu.be/zLRBjIRMdL0,,Joe,Joe zeused this one!
SCP: Eternity,Alligator,14-Nov,NATO forces deploy to sabotage a warship that is wreaking havoc on the Suez Canal,https://www.youtube.com/watch?v=uqx-6n3MGtk,,Jake,We accidentally predicted the Ukraine invasion 3 months early
